s,[K],[mg]
Time,"Temperature","Mass"
 0.0000000E+000, 3.0015000E+002, 5.0027262E+000
 1.1000000E+000, 3.0075804E+002, 5.0027262E+000
 2.0000000E+000, 3.0186984E+002, 5.0027262E+000
 3.0000000E+000, 3.0306151E+002, 5.0027262E+000
 4.0000000E+000, 3.0439499E+002, 5.0027262E+000
 5.1000000E+000, 3.0589461E+002, 5.0027262E+000
 6.1000000E+000, 3.0743808E+002, 5.0027262E+000
 7.1000000E+000, 3.0896932E+002, 5.0027262E+000
 8.1000000E+000, 3.1051853E+002, 5.0027262E+000
 9.1000000E+000, 3.1210841E+002, 5.0027262E+000
 1.0100000E+001, 3.1371071E+002, 5.0027262E+000
 1.1100000E+001, 3.1532718E+002, 5.0027262E+000
 1.2100000E+001, 3.1695602E+002, 5.0027262E+000
 1.3100000E+001, 3.1859283E+002, 5.0027262E+000
 1.4100000E+001, 3.2023729E+002, 5.0027262E+000
 1.5100000E+001, 3.2188606E+002, 5.0027262E+000
 1.6100000E+001, 3.2353970E+002, 5.0027262E+000
 1.7100000E+001, 3.2519550E+002, 5.0027262E+000
 1.8100000E+001, 3.2685456E+002, 5.0027262E+000
 1.9000000E+001, 3.2843459E+002, 5.0027262E+000
 2.0000000E+001, 3.3001745E+002, 5.0027262E+000
 2.1000000E+001, 3.3167206E+002, 5.0027262E+000
 2.2000000E+001, 3.3334364E+002, 5.0027262E+000
 2.3000000E+001, 3.3499988E+002, 5.0027262E+000
 2.4000000E+001, 3.3667243E+002, 5.0027262E+000
 2.5000000E+001, 3.3832971E+002, 5.0027262E+000
 2.6000000E+001, 3.4000277E+002, 5.0027262E+000
 2.7000000E+001, 3.4166073E+002, 5.0027262E+000
 2.8000000E+001, 3.4333402E+002, 5.0027262E+000
 2.9000000E+001, 3.4500028E+002, 5.0027262E+000
 3.0000000E+001, 3.4666581E+002, 5.0027262E+000
 3.1000000E+001, 3.4833226E+002, 5.0027262E+000
 3.2000000E+001, 3.4999792E+002, 5.0027262E+000
 3.3000000E+001, 3.5166450E+002, 5.0027262E+000
 3.4000000E+001, 3.5333024E+002, 5.0027262E+000
 3.5000000E+001, 3.5499690E+002, 5.0027262E+000
 3.6000000E+001, 3.5666267E+002, 5.0027262E+000
 3.7000000E+001, 3.5832939E+002, 5.0027262E+000
 3.8000000E+001, 3.5999519E+002, 5.0027262E+000
 3.9000000E+001, 3.6166976E+002, 5.0027262E+000
 4.0000000E+001, 3.6332776E+002, 5.0027262E+000
 4.1000000E+001, 3.6500220E+002, 5.0027262E+000
 4.2000000E+001, 3.6666037E+002, 5.0027262E+000
