Time (s),Mass (g),HRR (kW/m2)
0,97,-0.04
5,95.61,74.01
10,95.11,226.95
15,94.34,251.96
20,93.72,222.53
25,93.02,201.51
30,92.52,180.08
35,91.92,164.52
40,91.53,153.97
45,90.88,144.67
50,90.42,138.75
55,90.1,130.23
60,89.6,127.18
65,89.12,120.78
70,88.72,121.38
75,88.32,115.84
80,88.02,113.28
85,87.6,111.49
90,87.22,111
95,86.91,107.66
100,86.52,107.24
105,86.22,106.31
110,85.81,103.65
115,85.42,103.34
120,85.1,101.86
125,84.82,99.32
130,84.41,101.52
135,84.1,99.9
140,83.7,100.95
145,83.5,101.57
150,83,100.94
155,82.72,101.87
160,82.42,99.76
165,82.11,99.23
170,81.8,98.66
175,81.42,94.85
180,81.1,96.16
185,80.79,96.16
190,80.5,95.71
195,80.13,95.97
200,79.82,94.92
205,79.52,94.47
210,79.21,93.83
215,78.78,92.82
220,78.5,93.01
225,78.1,91.42
230,77.82,91.1
235,77.51,91.43
240,77.11,91.85
245,76.9,90.62
250,76.51,90.91
255,76.3,91.14
260,75.92,92.57
265,75.6,90.6
270,75.22,89.1
275,74.91,89.92
280,74.65,86
285,74.23,87.51
290,74.1,85.09
295,73.71,85.76
300,73.31,85.05
305,73.1,87.22
310,72.8,87.1
315,72.51,86.45
320,72.11,85.15
325,71.82,86.49
330,71.49,84.14
335,71.2,86.35
340,70.9,83.81
345,70.51,87.08
350,70.31,86.39
355,69.86,85.19
360,69.61,81.22
365,69.4,82.04
370,69.02,81.77
375,68.8,80.69
380,68.41,85.08
385,68.19,84.69
390,67.81,83.97
395,67.5,84.46
400,67.21,82.09
405,66.99,81.67
410,66.61,82.6
415,66.22,81.32
420,66.01,81.29
425,65.71,81.15
430,65.49,78.4
435,65.19,80.07
440,64.89,80.35
445,64.6,82.38
450,64.29,81.42
455,63.99,81.53
460,63.6,82.45
465,63.31,80.71
470,63.11,81.61
475,62.81,80.74
480,62.52,80.45
485,62.2,83.05
490,61.99,83.49
495,61.61,81.58
500,61.31,80.92
505,61.1,82.59
510,60.71,82.88
515,60.49,80.86
520,60.19,81.03
525,59.9,82.93
530,59.6,82.07
535,59.29,82.62
540,58.99,81.33
545,58.71,83.18
550,58.39,82.73
555,58.21,84.67
560,57.89,84.49
565,57.61,84.67
570,57.29,83.2
575,57.01,83.14
580,56.69,84.67
585,56.28,87.11
590,56.1,88.46
595,55.81,87.89
600,55.5,85.83
605,55.21,84.45
610,54.99,84.75
615,54.64,86.82
620,54.39,88.1
625,54.1,88.91
630,53.79,90.33
635,53.49,91.47
640,53.21,89.88
645,53,89.42
650,52.52,87.59
655,52.29,91.5
660,51.99,90.71
665,51.61,93.27
670,51.2,96.22
675,51.01,94.78
680,50.73,96.05
685,50.51,96.05
690,50.19,94.92
695,49.89,95.88
700,49.49,96.26
705,49.21,97.96
710,48.88,100.8
715,48.39,99.68
720,48.2,101.97
725,47.8,103.01
730,47.52,103.09
735,47.29,103.7
740,46.9,103.35
745,46.59,107.16
750,46.19,105.25
755,45.79,107.55
760,45.51,109.16
765,45.1,110.5
770,44.8,111.76
775,44.5,109.17
780,44.1,111.73
785,43.81,111.88
790,43.4,113.33
795,43.02,113.48
800,42.7,114.31
805,42.21,114.66
810,41.97,119.31
815,41.6,120.35
820,41.1,119.25
825,40.8,120.97
830,40.5,122.01
835,40.01,122.13
840,39.61,124.52
845,39.28,127.07
850,38.71,127.05
855,38.38,131.09
860,37.9,130.64
865,37.6,128.92
870,37.19,133.56
875,36.7,131.6
880,36.38,132.89
885,35.9,134.49
890,35.5,131.76
895,35.08,131.4
900,34.7,134.97
905,34.08,136.46
910,33.78,139.67
915,33.31,138.78
920,32.9,138.06
925,32.5,141.06
930,31.98,137.73
935,31.6,139.95
940,31.08,139.12
945,30.69,140.28
950,30.3,139.76
955,29.78,141.68
960,29.39,141.1
965,29,143.42
970,28.42,142.84
975,27.88,142.84
980,27.6,143.4
985,27.19,143.71
990,26.68,146.69
995,26.28,147.65
1000,25.9,146.97
1005,25.4,146.45
1010,25,148.1
1015,24.38,144.05
1020,24.11,143.82
1025,23.69,141.59
1030,23.38,139.21
1035,22.89,138.02
1040,22.49,131.14
1045,22.09,132.45
1050,21.79,126.81
1055,21.38,127.52
1060,21.09,124.72
1065,20.78,119.11
1070,20.41,113.87
1075,20.16,108.66
1080,19.8,106.17
1085,19.58,103.33
1090,19.28,97.32
1095,18.99,94.02
1100,18.78,90.34
1105,18.5,86.28
1110,18.38,82.86
1115,18.17,80.99
1120,17.98,75.22
1125,17.79,73.17
1130,17.68,70.18
1135,17.48,68.34
1140,17.38,64.48
1145,17.19,60.99
1150,17.08,57.91
1155,16.98,56.56
1160,16.88,55.28
1165,16.78,53.16
1170,16.68,51.16
1175,16.58,50.28
1180,16.48,49.06
1185,16.46,47.11
1190,16.3,45.91
1195,16.29,46.88
1200,16.27,46.83
1205,16.17,45.98
1210,16.08,45.04
1215,15.97,43.34
1220,15.95,44.47
1225,15.87,43.51
1230,15.77,42.65
1235,15.68,42.11
1240,15.58,43.45
1245,15.58,41.92
1250,15.47,41.33
1255,15.39,42.94
1260,15.37,43.11
1265,15.28,41.92
1270,15.28,41.64
1275,15.17,41.85
1280,15.09,40.4
1285,15.07,41.9
1290,14.89,41.13
1295,14.89,40.16
1300,14.88,40.46
1305,14.87,39.38
1310,14.77,38.51
